ID,Degree,Closeness centrality,Clustering coefficient,Louvain,Label propagation,Kernighan Lin Bisection,Girvan Newman,K-clique
1, 16, 0.5689655172413793, 0.15,0,0,1,0,2
2, 9, 0.4852941176470588, 0.3333333333333333,0,0,1,0,2
3, 10, 0.559322033898305, 0.24444444444444444,0,1,1,1,2
4, 6, 0.4647887323943662, 0.6666666666666666,0,0,1,0,2
5, 3, 0.3793103448275862, 0.6666666666666666,1,0,0,2,
6, 4, 0.38372093023255816, 0.5,1,2,0,2,
7, 4, 0.38372093023255816, 0.5,1,2,0,2,
8, 4, 0.44, 1.0,0,0,1,0,2
9, 5, 0.515625, 0.5,3,1,3,1,1
10, 2, 0.4342105263157895, 0,3,1,0,3,
11, 3, 0.3793103448275862, 0.6666666666666666,1,0,0,2,
12, 1, 0.36666666666666664, 0,0,0,0,0,
13, 2, 0.3707865168539326, 1.0,0,0,1,0,
14, 5, 0.515625, 0.6,0,0,1,0,2
15, 2, 0.3707865168539326, 1.0,3,1,3,1,
16, 2, 0.3707865168539326, 1.0,3,1,3,1,
17, 2, 0.28448275862068967, 1.0,1,2,0,2,
18, 2, 0.375, 1.0,0,0,1,0,
19, 2, 0.3707865168539326, 1.0,3,1,3,1,
20, 3, 0.5, 0.3333333333333333,0,0,1,0,
21, 2, 0.3707865168539326, 1.0,3,1,3,1,
22, 2, 0.375, 1.0,0,0,0,0,
23, 2, 0.3707865168539326, 1.0,3,1,3,1,
24, 5, 0.39285714285714285, 0.4,3,1,2,1,0
25, 3, 0.375, 0.3333333333333333,2,1,2,1,
26, 3, 0.375, 0.3333333333333333,2,1,2,1,
27, 2, 0.3626373626373626, 1.0,3,1,2,1,
28, 4, 0.4583333333333333, 0.16666666666666666,3,1,2,1,
29, 3, 0.4520547945205479, 0.3333333333333333,2,1,2,1,
30, 4, 0.38372093023255816, 0.6666666666666666,3,1,2,1,0
31, 4, 0.4583333333333333, 0.5,3,1,3,1,1
32, 6, 0.5409836065573771, 0.2,2,1,2,1,
33, 12, 0.515625, 0.19696969696969696,3,1,3,1,0;1
34, 17, 0.55, 0.11029411764705882,3,1,3,1,0;1
